sync_num,icg_timestamp,ecg_timestamp,time_diff_ms,elapsed_time_s,elapsed_time_min,icg_samples_between,ecg_samples_between,icg_sample_deviation,ecg_sample_deviation,,,,,
164,1761738266.601000,1761738266.601000,0,-19670.3,-327.84,394,397,-6,-3,,,0.999500036,0.000499964,
165,1761738267.605500,1761738267.598000,7.5,-19669.2,-327.82,394,398,-6,-2,,,0.985000134,0.014999866,
166,1761738268.611000,1761738268.598500,12.5,-19668.2,-327.8,392,398,-8,-2,,,1.004499912,-0.004499912,
167,1761738269.612000,1761738269.603000,9,-19667.2,-327.79,394,396,-6,-4,,,1.005500078,-0.005500078,
168,1761738270.614000,1761738270.596000,18,-19666.2,-327.77,394,400,-6,0,,,1.000999928,-0.000999928,
169,1761738271.609500,1761738271.598500,11,-19665.2,-327.75,396,399,-4,-1,,,1.002000093,-0.002000093,
170,1761738272.602000,1761738272.603000,1,-19664.3,-327.74,395,397,-5,-3,,,0.995499849,0.004500151,
171,1761738273.607500,1761738273.605000,2.5,-19663.2,-327.72,393,397,-7,-3,,,0.992500067,0.007499933,
172,1761738274.613500,1761738274.604500,9,-19662.2,-327.7,393,397,-7,-3,,,1.005500078,-0.005500078,
173,1761738275.615500,1761738275.606500,9,-19661.2,-327.69,393,397,-7,-3,,,1.006000042,-0.006000042,
174,1761738276.618500,1761738276.606000,12.5,-19660.2,-327.67,393,397,-7,-3,,,1.001999855,-0.001999855,
175,1761738277.619000,1761738277.601000,18,-19659.2,-327.65,394,399,-6,-1,,,1.003000021,-0.003000021,
176,1761738278.606500,1761738278.603000,3.5,-19658.2,-327.64,392,398,-8,-2,,,1.000499964,-0.000499964,
177,1761738279.612000,1761738279.605000,7,-19657.2,-327.62,394,398,-6,-2,,,0.987499952,0.012500048,
178,1761738280.612500,1761738280.606500,6,-19656.2,-327.6,395,398,-5,-2,,,1.005500078,-0.005500078,
179,1761738281.614500,1761738281.607500,7,-19655.2,-327.59,395,397,-5,-3,,,1.000499964,-0.000499964,
180,1761738282.617500,1761738282.603000,14.5,-19654.2,-327.57,395,398,-5,-2,,,1.002000093,-0.002000093,
181,1761738283.617000,1761738283.600500,16.5,-19653.2,-327.55,395,400,-5,0,,,1.003000021,-0.003000021,
182,1761738284.607000,1761738284.603500,3.5,-19652.2,-327.54,395,399,-5,-1,,,0.999500036,0.000499964,
183,1761738285.609000,1761738285.603000,6,-19651.2,-327.52,394,399,-6,-1,,,0.99000001,0.00999999,
184,1761738286.617000,1761738286.603500,13.5,-19650.2,-327.5,393,400,-7,0,,,1.001999855,-0.001999855,
185,1761738287.621000,1761738287.611500,9.5,-19649.2,-327.49,394,397,-6,-3,,,1.008000135,-0.008000135,
186,1761738288.625500,1761738288.606000,19.5,-19648.2,-327.47,393,399,-7,-1,,,1.003999949,-0.003999949,
187,1761738289.625000,1761738289.606000,19,-19647.2,-327.45,394,399,-6,-1,,,1.004499912,-0.004499912,
188,1761738290.612500,1761738290.610500,2,-19646.2,-327.44,393,397,-7,-3,,,0.999500036,0.000499964,
189,1761738291.615500,1761738291.607500,8,-19645.2,-327.42,394,398,-6,-2,,,0.987499952,0.012500048,
190,1761738292.620000,1761738292.607000,13,-19644.2,-327.4,393,398,-7,-2,,,1.003000021,-0.003000021,
191,1761738293.624500,1761738293.610500,14,-19643.2,-327.39,393,397,-7,-3,,,1.004499912,-0.004499912,
192,1761738294.625500,1761738294.607500,18,-19642.2,-327.37,394,398,-6,-2,,,1.004500151,-0.004500151,
193,1761738295.628500,1761738295.605000,23.5,-19641.2,-327.35,393,399,-7,-1,,,1.000999928,-0.000999928,
194,1761738296.613500,1761738296.609500,4,-19640.2,-327.34,394,398,-6,-2,,,1.003000021,-0.003000021,
195,1761738297.615500,1761738297.613000,2.5,-19639.2,-327.32,393,396,-7,-4,,,0.985000134,0.014999866,
196,1761738298.620000,1761738298.615000,5,-19638.2,-327.3,394,396,-6,-4,,,1.001999855,-0.001999855,
197,1761738299.624500,1761738299.612000,12.5,-19637.2,-327.29,393,397,-7,-3,,,1.004499912,-0.004499912,
198,1761738300.631500,1761738300.609000,22.5,-19636.2,-327.27,393,398,-7,-2,,,1.004500151,-0.004500151,
199,1761738301.636000,1761738301.606500,29.5,-19635.2,-327.25,392,399,-8,-1,,,1.006999969,-0.006999969,
200,1761738302.618500,1761738302.611000,7.5,-19634.2,-327.24,393,398,-7,-2,,,1.004499912,-0.004499912,
201,1761738303.620500,1761738303.613000,7.5,-19633.2,-327.22,391,398,-9,-2,,,0.982500076,0.017499924,
202,1761738304.626000,1761738304.612500,13.5,-19632.2,-327.2,392,398,-8,-2,,,1.002000093,-0.002000093,
203,1761738305.629000,1761738305.613000,16,-19631.2,-327.19,392,398,-8,-2,,,1.00549984,-0.00549984,
204,1761738306.632500,1761738306.612500,20,-19630.2,-327.17,394,398,-6,-2,,,1.003000021,-0.003000021,
205,1761738307.637000,1761738307.610000,27,-19629.2,-327.15,392,400,-8,0,,,1.003499985,-0.003499985,
206,1761738308.619500,1761738308.617000,2.5,-19628.2,-327.14,392,397,-8,-3,,,1.004500151,-0.004500151,
207,1761738309.621500,1761738309.621500,0,-19627.2,-327.12,394,396,-6,-4,,,0.982499838,0.017500162,
208,1761738310.627000,1761738310.617500,9.5,-19626.2,-327.1,393,397,-7,-3,,,1.002000093,-0.002000093,
209,1761738311.631500,1761738311.618000,13.5,-19625.2,-327.09,393,397,-7,-3,,,1.005500078,-0.005500078,
210,1761738312.634000,1761738312.616000,18,-19624.2,-327.07,394,398,-6,-2,,,1.004499912,-0.004499912,
211,1761738313.636000,1761738313.613500,22.5,-19623.2,-327.05,393,399,-7,-1,,,1.002500057,-0.002500057,
