sync_num,icg_timestamp,ecg_timestamp,time_diff_ms,elapsed_time_s,elapsed_time_min,icg_samples_between,ecg_samples_between,icg_sample_deviation,ecg_sample_deviation,,,
1353,1761653227,1761653227,6,-18468.8,-307.81,393,400,-7,0,,,
1365,1761653239,1761653239,8.5,-18456.8,-307.61,393,400,-7,0,,,
1366,1761653240,1761653240,5.5,-18455.8,-307.6,393,400,-7,0,,,
1372,1761653246,1761653246,8.5,-18449.8,-307.5,393,399,-7,-1,,,
1377,1761653251,1761653251,9,-18444.8,-307.41,393,398,-7,-2,,,
1378,1761653252,1761653252,11,-18443.8,-307.4,393,399,-7,-1,,,
1391,1761653265,1761653265,6,-18430.8,-307.18,393,401,-7,1,,,
1395,1761653269,1761653269,8,-18426.8,-307.11,393,399,-7,-1,,,
1396,1761653270,1761653270,6,-18425.8,-307.1,393,398,-7,-2,,,
1397,1761653271,1761653271,7.5,-18424.8,-307.08,393,399,-7,-1,,,
1403,1761653277,1761653277,8,-18418.8,-306.98,393,399,-7,-1,,,
1429,1761653303,1761653303,8.5,-18392.8,-306.55,393,400,-7,0,,,
1445,1761653319,1761653319,8.5,-18376.8,-306.28,393,400,-7,0,,,
1446,1761653320,1761653320,4,-18375.8,-306.26,393,399,-7,-1,,,
1449,1761653323,1761653323,3.5,-18372.8,-306.21,393,400,-7,0,,,
1457,1761653331,1761653331,4,-18364.8,-306.08,393,400,-7,0,,,
1467,1761653341,1761653341,3.5,-18354.8,-305.91,393,398,-7,-2,,,
1503,1761653377,1761653377,4.5,-18318.7,-305.31,393,400,-7,0,,,
1526,1761653400,1761653400,1,-18295.7,-304.93,393,397,-7,-3,,,
1529,1761653403,1761653403,10,-18292.7,-304.88,393,399,-7,-1,,,
1548,1761653422,1761653422,4,-18273.7,-304.56,393,400,-7,0,,,
1587,1761653461,1761653461,3.5,-18234.7,-303.91,393,399,-7,-1,,,
1604,1761653478,1761653478,7,-18217.7,-303.63,393,400,-7,0,,,
1605,1761653479,1761653479,5.5,-18216.7,-303.61,393,400,-7,0,,,
1622,1761653496,1761653496,6,-18199.7,-303.33,393,400,-7,0,,,
1662,1761653536,1761653536,6.5,-18159.7,-302.66,393,399,-7,-1,,,
1671,1761653545,1761653545,6.5,-18150.7,-302.51,393,401,-7,1,,,
1678,1761653553,1761653553,6,-18143.7,-302.39,393,397,-7,-3,,,
1689,1761653564,1761653564,3,-18132.7,-302.21,393,400,-7,0,,,
1690,1761653565,1761653565,7,-18131.7,-302.19,393,396,-7,-4,,,
1695,1761653570,1761653570,0.5,-18126.7,-302.11,393,398,-7,-2,,,
