sync_num,icg_timestamp,ecg_timestamp,time_diff_ms,elapsed_time_s,elapsed_time_min,icg_samples_between,ecg_samples_between,icg_sample_deviation,ecg_sample_deviation
125,1761643758.390000,1761643758.386000,4.000,-19683.3,-328.05,392,398,-8,-2
126,1761643759.393000,1761643759.385500,7.500,-19682.3,-328.04,393,400,-7,+0
127,1761643760.388500,1761643760.385000,3.500,-19681.3,-328.02,392,399,-8,-1
128,1761643761.396000,1761643761.386500,9.500,-19680.3,-328.00,390,400,-10,+0
129,1761643762.391500,1761643762.386000,5.500,-19679.3,-327.99,391,398,-9,-2
130,1761643763.396500,1761643763.385500,11.000,-19678.3,-327.97,394,401,-6,+1
131,1761643764.393500,1761643764.388500,5.000,-19677.3,-327.95,393,399,-7,-1
132,1761643765.396500,1761643765.388000,8.500,-19676.3,-327.94,393,400,-7,+0
133,1761643766.393500,1761643766.387500,6.000,-19675.3,-327.92,393,399,-7,-1
134,1761643767.398500,1761643767.387000,11.500,-19674.3,-327.90,392,400,-8,+0
135,1761643768.392000,1761643768.389000,3.000,-19673.3,-327.89,392,400,-8,+0
136,1761643769.398500,1761643769.392000,6.500,-19672.3,-327.87,392,400,-8,+0
137,1761643770.396500,1761643770.394000,2.500,-19671.3,-327.85,391,399,-9,-1
138,1761643771.400500,1761643771.391000,9.500,-19670.3,-327.84,394,400,-6,+0
139,1761643772.397000,1761643772.393000,4.000,-19669.3,-327.82,390,400,-10,+0
140,1761643773.400000,1761643773.392500,7.500,-19668.3,-327.80,392,400,-8,+0
141,1761643774.397000,1761643774.395500,1.500,-19667.3,-327.79,392,399,-8,-1
142,1761643775.401500,1761643775.391500,10.000,-19666.3,-327.77,392,399,-8,-1
143,1761643776.398500,1761643776.392000,6.500,-19665.3,-327.75,392,400,-8,+0
144,1761643777.404000,1761643777.391500,12.500,-19664.3,-327.74,392,398,-8,-2
145,1761643778.397500,1761643778.392000,5.500,-19663.3,-327.72,392,401,-8,+1
146,1761643779.405500,1761643779.395500,10.000,-19662.3,-327.70,390,399,-10,-1
147,1761643780.399000,1761643780.396000,3.000,-19661.3,-327.69,392,400,-8,+0
148,1761643781.406000,1761643781.394500,11.500,-19660.3,-327.67,392,398,-8,-2
149,1761643782.403000,1761643782.395000,8.000,-19659.3,-327.65,391,400,-9,+0
150,1761643783.408500,1761643783.394500,14.000,-19658.3,-327.64,391,399,-9,-1
151,1761643784.402000,1761643784.396500,5.500,-19657.3,-327.62,393,398,-7,-2
152,1761643785.408500,1761643785.396000,12.500,-19656.3,-327.60,389,399,-11,-1
153,1761643786.403000,1761643786.396500,6.500,-19655.3,-327.59,391,400,-9,+0
154,1761643787.407500,1761643787.397500,10.000,-19654.3,-327.57,391,399,-9,-1
155,1761643788.403000,1761643788.397000,6.000,-19653.3,-327.55,391,399,-9,-1
156,1761643789.410000,1761643789.396500,13.500,-19652.3,-327.54,390,399,-10,-1
157,1761643790.404500,1761643790.397000,7.500,-19651.3,-327.52,390,400,-10,+0
158,1761643791.406500,1761643791.396500,10.000,-19650.3,-327.50,390,401,-10,+1
159,1761643792.403500,1761643792.398500,5.000,-19649.3,-327.49,391,399,-9,-1
160,1761643793.409000,1761643793.400500,8.500,-19648.3,-327.47,390,400,-10,+0
161,1761643794.406000,1761643794.402500,3.500,-19647.3,-327.45,391,398,-9,-2
162,1761643795.414000,1761643795.399500,14.500,-19646.3,-327.44,389,400,-11,+0
163,1761643796.406000,1761643796.400000,6.000,-19645.3,-327.42,392,400,-8,+0
164,1761643797.407500,1761643797.398500,9.000,-19644.3,-327.40,392,398,-8,-2
165,1761643798.405500,1761643798.399000,6.500,-19643.3,-327.39,392,401,-8,+1
166,1761643799.409500,1761643799.401000,8.500,-19642.3,-327.37,392,400,-8,+0
167,1761643800.407500,1761643800.402500,5.000,-19641.3,-327.35,391,400,-9,+0
168,1761643801.413000,1761643801.402000,11.000,-19640.3,-327.34,390,400,-10,+0
169,1761643802.408500,1761643802.402500,6.000,-19639.3,-327.32,390,400,-10,+0
170,1761643803.411000,1761643803.402000,9.000,-19638.3,-327.30,391,400,-9,+0
171,1761643804.410500,1761643804.401500,9.000,-19637.3,-327.29,390,398,-10,-2
172,1761643805.414500,1761643805.402500,12.000,-19636.3,-327.27,390,399,-10,-1
173,1761643806.410500,1761643806.405500,5.000,-19635.3,-327.25,388,398,-12,-2
174,1761643807.416000,1761643807.404000,12.000,-19634.2,-327.24,390,397,-10,-3
175,1761643808.410500,1761643808.402000,8.500,-19633.3,-327.22,391,400,-9,+0
176,1761643809.414500,1761643809.404000,10.500,-19632.3,-327.20,391,399,-9,-1
177,1761643810.408000,1761643810.403000,5.000,-19631.3,-327.19,391,400,-9,+0
178,1761643811.413500,1761643811.402500,11.000,-19630.3,-327.17,391,400,-9,+0
179,1761643812.411500,1761643812.403000,8.500,-19629.3,-327.15,391,400,-9,+0
180,1761643813.418000,1761643813.405000,13.000,-19628.2,-327.14,390,397,-10,-3
181,1761643814.413500,1761643814.404500,9.000,-19627.3,-327.12,392,399,-8,-1
182,1761643815.417500,1761643815.406500,11.000,-19626.2,-327.10,391,399,-9,-1
183,1761643816.413000,1761643816.404500,8.500,-19625.3,-327.09,390,400,-10,+0
184,1761643817.420000,1761643817.405000,15.000,-19624.2,-327.07,390,399,-10,-1
185,1761643818.414500,1761643818.407500,7.000,-19623.3,-327.05,391,399,-9,-1
186,1761643819.416500,1761643819.404500,12.000,-19622.2,-327.04,392,399,-8,-1
